key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_000","你居然沒有佩戴調魂器就來到了這裡，<hex:02100103>還真是個不怕死的傢伙！<hex:02100103>是有什麼急事嗎？"
1,"TEXT_REGSAK6ELECTROPESTRIKE_00886_Q1_000_000","想了解什麼？"
2,"TEXT_REGSAK6ELECTROPESTRIKE_00886_A1_000_001","你是做什麼的？"
3,"TEXT_REGSAK6ELECTROPESTRIKE_00886_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGSAK6ELECTROPESTRIKE_00886_A1_000_003","取消"
5,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_010","怎麼？你想了解我嗎？<hex:02100103>我就是個負責對挖出來的雷轉質的搬運日程進行管理的無名監工。"
6,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_011","我原本是圖拉爾人，<hex:02100103>不像邊郊鎮的人們對「生活在大地上」那種事那樣執著。<hex:02100103>不過塔裡的工作也不適合我。"
7,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_012","結果就變成了平時住在塔裡，<hex:02100103>然後工作的話還是儘量希望能到外面的環境。"
8,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_020","這裡是雷轉質礦場。<hex:02100103>正如名字那樣，在這裡挖掘雷轉質，<hex:02100103>然後送往加工設施。"
9,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_021","畢竟雷轉質是蘊含著無限可能性的資源……<hex:02100103>其挖掘和搬運工作對亞歷山德里亞來說有多重要，<hex:02100103>應該不需要刻意進行說明了吧？"
10,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_022","一想到我們越是在這裡努力工作，<hex:02100103>國家就會變得越發富足，我就能感到這份工作很有意義。"
11,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_023","所以我以這份工作為榮，<hex:02100103>當機器兵在塔裡暴動時，自己對此更是深有體會。"
12,"TEXT_REGSAK6ELECTROPESTRIKE_00886_PETAL_000_024","這裡的雷轉質是用於軍事……<hex:02100103>是用來傷害人的這一點，是理所當然的事實。<hex:02100103>但是自己又不忍心辭去這份工作……內心確實五味雜陳。"
